Date,England Total,Scotland Total,Wales Total,Northern Ireland Total,UK Total,England Daily,Scotland Total,Wales Daily,Northern Ireland Daily,UK Daily
2021-10-15,13167.616666666667,10954.981818181817,12654.258064516129,12816.6,12943.732198142416,69.79814814814814,50.21818181818182,100.96774193548387,67.45,69.55417956656346
2021-10-16,13239.875925925926,11001.89090909091,12654.258064516129,12877.5,13010.013931888545,73.37777777777778,46.92727272727273,0.0,60.9,67.21826625386997
2021-10-17,13310.435185185184,11050.309090909092,12749.90322580645,12925.8,13079.20278637771,71.37592592592593,48.472727272727276,95.64516129032258,48.3,69.87616099071208
2021-10-18,13382.7,11090.163636363637,12956.258064516129,12980.35,13154.594427244581,73.09814814814816,39.89090909090909,206.38709677419354,54.55,76.09287925696594
2021-10-19,13449.922222222222,11134.836363636363,13059.483870967742,13048.7,13221.659442724458,67.98518518518519,44.70909090909091,103.2258064516129,68.35,67.70588235294117
2021-10-20,13525.674074074073,11185.127272727274,13170.774193548386,13119.85,13296.806501547988,76.84814814814816,50.32727272727273,111.29032258064517,71.15,76.06656346749226
2021-10-21,13606.857407407408,11227.927272727273,13307.548387096775,13172.4,13376.503095975233,82.1537037037037,42.81818181818182,136.7741935483871,52.55,80.5092879256966
2021-10-22,13683.118518518519,11280.6,13413.838709677419,13240.15,13451.933436532508,77.30555555555556,52.763636363636365,106.3225806451613,67.75,76.312693498452
2021-10-23,13759.524074074074,11324.290909090909,13413.838709677419,13306.3,13521.569659442725,76.40555555555555,43.69090909090909,0.0,66.15,69.63622291021672
2021-10-24,13818.785185185185,11370.236363636364,13515.483870967742,13359.35,13581.538699690402,61.52037037037037,45.96363636363636,101.6774193548387,53.05,61.860681114551085
2021-10-25,13879.614814814815,11410.836363636363,13515.483870967742,13410.3,13637.421052631578,61.68333333333333,40.70909090909091,0.0,50.95,56.60526315789474
2021-10-26,13938.7,11451.8,13779.032258064517,13466.5,13704.685758513931,59.77777777777778,41.127272727272725,170.58064516129033,56.2,63.39628482972136
2021-10-27,14008.148148148148,11498.127272727274,13862.290322580646,13531.05,13772.676470588236,69.44814814814815,46.654545454545456,83.29032258064517,64.55,68.02012383900929
2021-10-28,14069.394444444444,11537.163636363637,13948.225806451614,13587.15,13833.057275541796,62.78333333333333,39.14545454545455,85.93548387096774,56.1,61.6749226006192
2021-10-29,14136.944444444445,11586.654545454545,14030.838709677419,13653.2,13899.74613003096,68.2462962962963,49.67272727272727,82.61290322580645,66.05,67.28637770897832
2021-10-30,14202.988888888889,11656.745454545455,14030.838709677419,13713.55,13962.78947368421,67.04444444444445,70.30909090909091,0.0,60.35,63.89783281733746
2021-10-31,14260.653703703703,11702.4,14128.129032258064,13763.6,14021.097523219814,58.294444444444444,45.69090909090909,97.29032258064517,50.05,58.8374613003096
2021-11-01,14319.335185185186,11739.945454545454,14288.806451612903,13811.0,14082.524767801857,59.40925925925926,37.54545454545455,160.74193548387098,47.4,62.038699690402474
2021-11-02,14371.612962962963,11776.163636363637,14360.09677419355,13866.7,14134.453560371518,52.83518518518518,36.54545454545455,71.29032258064517,55.7,52.422600619195045
2021-11-03,14434.272222222222,11839.436363636363,14440.483870967742,13916.45,14197.616099071207,63.55,63.54545454545455,80.38709677419355,49.75,63.93034055727554
2021-11-04,14488.85,11890.454545454546,14530.806451612903,13990.5,14254.208978328174,55.86296296296296,51.32727272727273,90.29032258064517,74.05,57.691950464396285
2021-11-05,14540.75,11936.309090909092,14594.838709677419,14048.7,14306.371517027865,52.75925925925926,43.43636363636364,64.06451612903226,58.2,52.6764705882353
2021-11-06,14588.37037037037,11995.236363636364,14594.838709677419,14108.4,14353.043343653251,48.611111111111114,59.07272727272727,0.0,59.7,47.51238390092879
2021-11-07,14631.553703703703,12048.072727272727,14678.161290322581,14160.15,14399.239938080495,44.035185185185185,52.872727272727275,83.3225806451613,51.75,46.911764705882355
2021-11-08,14677.187037037036,12084.618181818181,14816.935483870968,14211.55,14448.747678018575,46.257407407407406,36.58181818181818,138.80645161290323,51.4,50.03405572755418
2021-11-09,14728.2,12125.09090909091,14874.483870967742,14272.95,14499.498452012383,51.614814814814814,40.6,57.54838709677419,61.4,51.26470588235294
2021-11-10,14786.60925925926,12195.072727272727,14944.483870967742,14361.2,14560.37306501548,58.40925925925926,70.03636363636363,70.03225806451613,88.25,60.88080495356037
